Titre,Type_relation,Concept_of_type_relation,Clean_Paragraphe,Bart Summary,Keywords,Synonyms,Process_name,MOST RELEVANT,figures
tools and techniques for the perform quantitative risk,instance of,brainstorming,analysis process tools and techniques used appropriately for quantitative risk analysis have several characteristics as follows,"Analysis Process  Tools and techniques used appropriately for quantitative risk analysis have several characteristics, as follows:. Analysis Process  Techniques used to make quantitative risk analyses.",['techniques used appropriately' 'quantitative risk analysis' 'analysis process tools' 'several characteristics' 'follows'],,risk structure,"appropriately, analysis, characteristic, follow, quantitative, tool, technique, use, process, risk",
comprehensive risk representation,subclass of,level,risk models permit representation of many if not all of the risks that have impact on an objective simultaneously they also permit the representation of both opportunities and threats to the projects objectives,"Risk models permit representation of many, if not all, of the risks that have impact on an objective. They also permit the representation of both opportunities and threats to the project’s objectives.",['risk models permit representation' 'also permit' 'project ' 'objective simultaneously' 'representation' 'threats' 'risks' 'opportunities' 'objectives' 'many' 'impact'],9.2.3 maintain risk awareness,risk structure,"permit, representation, objective, simultaneously, model, threat, opportunity, impact, risk, project",
risk impact calculation,subclass of,level,quantitative models facilitate the correct calculation of the effect of many risks which are typically identi ed and quanti ed at a level of detail below the total project on the project objectives which are typically described at the level of the total project,"Quantitative models facilitate the correct calculation of the effect of many risks, which are typically identified at a level of detail below the total project. Project objectives are typically described at the level of thetotal project.",['quantitative models facilitate' 'typically identi ed' 'typically described' 'quanti ed' 'total project' 'total project' 'project objectives' 'many risks' 'correct calculation' 'level' 'level' 'effect' 'detail'],"7.3.3 quantitative method appropriate to analyzing uncertainty, 7.3.5 effective presentation of quantitative analysis results, 7.4  documenting the results of the perform quantitative risk, 8.2.6 ensure appropriate, timely, effective, and agreed-upon responses, 8.3.5 applying risk response strategies to overall project risk, 8.4.2 response selection, 9.1 purpose and objectives of the monitor and control risks process, 9.2.2 continuously monitor risk trigger conditions, 9.2.3 maintain risk awareness, b.1 pre-project, b.4 exposure and consensus, d.2.1.3 cause and effect (ishikawa) diagrams, d.2.1.8 force field analysis, d.2.1.10 inﬂ uence diagrams, d.2.1.15 questionnaire, d.2.1.17 root-cause analysis, d.6.1.1 reserve analysis, d.6.1.6 variance analysis",risk structure,"total, typically, level, quanti, correct, ed, facilitate, calculation, project, model",
quantitative method appropriate to analyzing uncertainty,subclass of,outcome,probability models use a quantitative method that addresses uncertainty speci cally the methods should be able to handle the way uncertainty is represented predominantly as probability of an events occurring or as probability distributions for a range of outcomes a good example of this is the use of monte carlo simulation tools that permit the combination of probability distributions of lineitem costs or schedule activity durations many of which are uncertain,Probability models use a quantitative method that addresses uncertainty. A good example of this is the use of Monte Carlo simulation  tools. The methods should be able to handle the way uncertainty is represented.,['monte carlo simulation tools' 'schedule activity durations' 'probability models use' 'way uncertainty' 'speci cally' 'quantitative method' 'probability distributions' 'probability distributions' 'item costs' 'good example' 'event ' 'addresses uncertainty' 'use' 'probability' 'uncertain' 'represented' 'range' 'predominantly' 'permit' 'outcomes' 'occurring' 'methods' 'many' 'line' 'handle' 'combination' 'able'],"7.3.4 data gathering tools, 7.3.5 effective presentation of quantitative analysis results, 7.3.6 iterative quantitative risk analysis, 7.4  documenting the results of the perform quantitative risk, 8.1 purpose and objectives of the plan risk responses process, 8.2 critical success factors for the plan risk responses process, 8.2.2 clearly deﬁ ne risk-related roles and responsibilities, 8.2.5 address the interaction of risks and responses, 8.3 risk response strategies, 8.3.5 applying risk response strategies to overall project risk, 8.4 tools and techniques for the plan risk responses process, 8.4.1 response identiﬁ cation, 8.4.2 response selection, 8.4.4 ownership and responsibility assignment, 8.5.2 add corresponding risk responses to the project management plan, 9.1 purpose and objectives of the monitor and control risks process, 9.2.2 continuously monitor risk trigger conditions, 9.2.3 maintain risk awareness, 9.3 tools and techniques for the monitor and control risks process, 9.4 documenting the results of the monitor and control risks process, a.1  introduction, b.1 pre-project, b.4 exposure and consensus, c.6 staff contributors, d.1.1.2 templates relevant to risk management planning, d.2 techniques, examples and templates for identify risks (chapter 5), d.2.1.1 assumptions and constraints analysis, d.2.1.2 brainstorming, d.2.1.3 cause and effect (ishikawa) diagrams, d.2.1.4 checklists, d.2.1.5 delphi technique, d.2.1.7 fmea/fault tree analysis, d.2.1.8 force field analysis, d.2.1.10 inﬂ uence diagrams, d.2.1.12 nominal group technique, d.2.1.15 questionnaire, d.2.1.17 root-cause analysis, d.2.1.18 swot analysis, d.2.1.19 system dynamics, d.2.1.20 wbs review, d.3.1 techniques for perform qualtitative risk analysis, d.3.1.1 estimating techniques applied to probability and impact, d.3.1.2, d.3.1.3 analytic hierarchy process (ahp), d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.4.1.3 monte carlo simulation, d.5.1 techniques for plan risk response, d.5.1.2 contingency reserve estimation, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.6 variance analysis",nt information,"probability, distribution, method, uncertainty, cally, able, permit, lineitem, handle, combination",
ata gathering tools,instance of,brainstorming,data gathering tools used in this process include assessment of historical data and workshops interviews or questionnaires to gather quanti ed informationfor example on the probability of a risk occurring a probability distribution of its potential impacts on cost or time or relationships such as correlation between risks,"Data gathering tools used in this process include assessment of historical data and workshops, interviews, or questionnaires to gather quantiﬁ ed information. For example, on the probability of a risk occurring, a probability distribution of its potential impacts on cost or time.",['gather quanti ed information ' 'data gathering tools used' 'process include assessment' 'historical data' 'risk occurring' 'potential impacts' 'probability distribution' 'probability' 'workshops' 'time' 'risks' 'relationships' 'questionnaires' 'interviews' 'example' 'cost' 'correlation'],"7.3.5 effective presentation of quantitative analysis results, 7.4  documenting the results of the perform quantitative risk, 8.2 critical success factors for the plan risk responses process, 8.2.4 provide resources, budget, and schedule for responses, 8.2.6 ensure appropriate, timely, effective, and agreed-upon responses, 8.4 tools and techniques for the plan risk responses process, 8.4.1 response identiﬁ cation, 8.4.4 ownership and responsibility assignment, 9.1 purpose and objectives of the monitor and control risks process, 9.2.3 maintain risk awareness, 9.3 tools and techniques for the monitor and control risks process, 9.3.2 tracking trigger conditions, 9.4 documenting the results of the monitor and control risks process, b.1 pre-project, b.4 exposure and consensus, c.6 staff contributors, d.1.1.2 templates relevant to risk management planning, d.2.1.5 delphi technique, d.2.1.8 force field analysis, d.2.1.10 inﬂ uence diagrams, d.2.1.18 swot analysis, d.2.1.19 system dynamics, d.3  techniques, examples and templates for perform qualitative risk, d.3.1 techniques for perform qualtitative risk analysis, d.3.1.1 estimating techniques applied to probability and impact, d.3.1.2, d.4.1 techniques for perform quantitative risk analysis, d.4.1.3 monte carlo simulation, d.5.1.3 multi-criteria selection techniques, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.6 variance analysis",collected tools,"datum, probability, gathering, quanti, questionnaire, workshop, distribution, gather, interview, historical",
effective presentation of quantitative analysis results,has cause,cause,results from the quantitative tools are generally not available in standard deterministic project management methods such as project scheduling or cost estimating examples of these are the probability distribution of project completion dates or total costs and the expected value of a project decision these results when all risks are considered simultaneously include the following probability of achieving a project objective such as nishing on time or within budget amount of contingency reserve in cost time or resources needed to provide a required level of con dence identity or location within the project model of the most important risks an example of this is a sensitivity analysis in a cost risk analysis or a criticality analysis in a schedule risk analysis the elements of a quantitative risk analysis are illustrated in figure figure structure of a quantitative risk analysis,Results from quantitative tools are generally not available in standard deterministic project management methods. Examples of these are the probability distribution of project completion dates or total costs and the expected value of a project decision. The elements of a quantitative risk analysis are illustrated in Figure 7-2.,['standard deterministic project management methods' 'schedule risk analysis' ' con dence' 'project completion dates' ' sensitivity analysis' 'quantitative risk analysis' 'quantitative risk analysis' 'cost risk analysis' 'criticality analysis' ' amount' 'quantitative tools' 'project scheduling' 'project objective' 'project model' 'project decision' ' nishing' 'within budget' 'total costs' 'resources needed' 'required level' 'location within' 'figure ' 'figure ' 'expected value' 'cost estimating' 'contingency reserve' 'considered simultaneously' 'probability distribution' 'important risks' 'cost' 'risks' 'probability' 'time' 'time' 'structure' 'results' 'results' 'provide' 'include' 'illustrated' 'identity' 'generally' 'following' 'examples' 'example' 'elements' 'available' 'achieving' '' ''],"7.3.6 iterative quantitative risk analysis, 7.4  documenting the results of the perform quantitative risk, 8.1 purpose and objectives of the plan risk responses process, 8.2 critical success factors for the plan risk responses process, 8.2.2 clearly deﬁ ne risk-related roles and responsibilities, 8.2.4 provide resources, budget, and schedule for responses, 8.2.5 address the interaction of risks and responses, 8.2.6 ensure appropriate, timely, effective, and agreed-upon responses, 8.3 risk response strategies, 8.3.5 applying risk response strategies to overall project risk, 8.4 tools and techniques for the plan risk responses process, 8.4.1 response identiﬁ cation, 8.4.2 response selection, 8.4.3 action planning, 8.4.4 ownership and responsibility assignment, 8.5 documenting the results of the plan risk responses process, 8.5.2 add corresponding risk responses to the project management plan, 9.1 purpose and objectives of the monitor and control risks process, 9.2.1 integrate risk monitoring and control with project monitoring and control, 9.2.2 continuously monitor risk trigger conditions, 9.2.3 maintain risk awareness, 9.3 tools and techniques for the monitor and control risks process, 9.3.2 tracking trigger conditions, 9.4 documenting the results of the monitor and control risks process, a.1  introduction, b.1 pre-project, b.4 exposure and consensus, c.6 staff contributors, d.1.1 techniques, d.1.1.1 the risk management plan – purpose and typical content, d.1.1.2 templates relevant to risk management planning, d.2 techniques, examples and templates for identify risks (chapter 5), d.2.1.1 assumptions and constraints analysis, d.2.1.2 brainstorming, d.2.1.3 cause and effect (ishikawa) diagrams, d.2.1.4 checklists, d.2.1.5 delphi technique, d.2.1.7 fmea/fault tree analysis, d.2.1.8 force field analysis, d.2.1.10 inﬂ uence diagrams, d.2.1.11 interviews, d.2.1.14 prompt lists, d.2.1.15 questionnaire, d.2.1.16 risk breakdown structure (rbs), d.2.1.17 root-cause analysis, d.2.1.18 swot analysis, d.2.1.19 system dynamics, d.2.1.20 wbs review, d.3  techniques, examples and templates for perform qualitative risk, d.3.1 techniques for perform qualtitative risk analysis, d.3.1.1 estimating techniques applied to probability and impact, d.3.1.2, d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.4.1.2 expected monetary value, d.4.1.3 monte carlo simulation, d.5.1 techniques for plan risk response, d.5.1.2 contingency reserve estimation, d.5.1.3 multi-criteria selection techniques, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.6 variance analysis",occurs effect,"analysis, cost, quantitative, project, risk, probability, figure, result, time, illustrate",
iterative quantitative risk analysis,facet of,identify risks process,the success of the perform quantitative risk analysis process is enhanced if the process is used periodically throughout the project it is impossible to know in advance all of the risks that may occur in a project often quantitative risk analysis should be repeated as the project proceeds the frequency of this effort will be determined during the plan risk management process but will also depend on events within the project itself see monitor and control risks chapter,The success of the Perform Quantitative Risk Analysis process is enhanced if the process is used periodically throughout the project. Often quantitative risk analysis should be repeated as the project proceeds. The frequency of this effort will be determined during the Plan Risk Management process.,['perform quantitative risk analysis process' 'often quantitative risk analysis' 'plan risk management process' 'used periodically throughout' 'chapter ' 'see monitor' 'may occur' 'events within' 'also depend' 'control risks' 'process' 'project proceeds' 'risks' 'project' 'project' 'project' 'success' 'repeated' 'know' 'impossible' 'frequency' 'enhanced' 'effort' 'determined' 'advance'],"7.3.7 information for response planning, 7.4  documenting the results of the perform quantitative risk, 8.1 purpose and objectives of the plan risk responses process, 8.2 critical success factors for the plan risk responses process, 8.2.2 clearly deﬁ ne risk-related roles and responsibilities, 8.2.5 address the interaction of risks and responses, 8.2.6 ensure appropriate, timely, effective, and agreed-upon responses, 8.2.8 develop strategies before tactical responses, 8.3 risk response strategies, 8.3.5 applying risk response strategies to overall project risk, 8.4.2 response selection, 8.4.3 action planning, 8.4.4 ownership and responsibility assignment, 8.5 documenting the results of the plan risk responses process, 8.5.1 add risk responses to the risk register, 8.5.2 add corresponding risk responses to the project management plan, 8.5.3 review and document predicted exposure, 9.1 purpose and objectives of the monitor and control risks process, 9.2.1 integrate risk monitoring and control with project monitoring and control, 9.2.2 continuously monitor risk trigger conditions, 9.2.3 maintain risk awareness, 9.3.1 managing contingency reserves, 9.3.4 tracking compliance, 9.4 documenting the results of the monitor and control risks process, a.1  introduction, b.1 pre-project, b.3 scope changes, b.4 exposure and consensus, d.1.1.2 templates relevant to risk management planning, d.1.1.4 risk prioritization and selection guidelines, d.2 techniques, examples and templates for identify risks (chapter 5), d.2.1.1 assumptions and constraints analysis, d.2.1.2 brainstorming, d.2.1.3 cause and effect (ishikawa) diagrams, d.2.1.4 checklists, d.2.1.7 fmea/fault tree analysis, d.2.1.8 force field analysis, d.2.1.10 inﬂ uence diagrams, d.2.1.11 interviews, d.2.1.13 post-project reviews/lessons learned/historical information, d.2.1.15 questionnaire, d.2.1.16 risk breakdown structure (rbs), d.2.1.17 root-cause analysis, d.2.1.18 swot analysis, d.2.1.19 system dynamics, d.2.1.20 wbs review, d.3.1 techniques for perform qualtitative risk analysis, d.3.1.1 estimating techniques applied to probability and impact, d.3.1.3 analytic hierarchy process (ahp), d.4  techniques, examples and templates for perform quantitative risk, d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.5.1 techniques for plan risk response, d.5.1.1 contingency planning, d.5.1.2 contingency reserve estimation, d.5.1.4 scenario analysis, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.4 status meetings, d.6.1.5 trend analysis, d.6.1.6 variance analysis",risk structure,"risk, process, quantitative, project, impossible, advance, periodically, analysis, know, frequency",
ocumenting the results of the perform quantitative risk,instance of,brainstorming,analysis process the contingency reserves calculated in quantitative project cost and schedule risk analysis are incorporated respectively into the cost estimate and the schedule to establish a prudent target and a realistic expectation for the project contingency reserves may also be established to provide for the capture of opportunities that are judged to be priorities for the project if the contingency reserve required exceeds the time or resources available changes in the project scope and plan may result also the results of the analysis may provide more or less urgency to risk response see plan risk responses chapter depending on the probability of achieving the plans objectives or the amount of contingency reserve required to provide the necessary level of con dence the results of a quantitative risk analysis are recorded and passed on to the person andor group responsible for project management within the organization for any further actions required to make full use of these results chapter plan risk responses the plan risk responses process determines effective response actions that are appropriate to the priority of the individual risks and to the overall project risk it takes into account the stakeholders risk attitudes and the conventions speci ed in the risk management plan in addition to any constraints and assumptions that were determined when the risks were identi ed and analyzed,Analysis Process The contingency reserves calculated in quantitative project cost and schedule risk analysis are incorporated into the cost estimate and the schedule. Contingency reserves may also be established to provide for the capture of opportunities that are judged to be priorities for the project.,['plan risk responses process determines effective response actions' 'chapter plan risk responses' 'see plan risk responses' 'stakeholders risk attitudes' 'contingency reserve required exceeds' 'contingency reserves may also' 'risk management plan' 'plan may result' 'contingency reserves calculated' 'contingency reserve required' 'quantitative risk analysis' 'overall project risk' 'make full use' 'risk response' 'schedule risk analysis' 'conventions speci ed' 'project management within' 'actions required' 'analysis may provide' 'analysis process' 'quantitative project cost' 'plan ' 'chapter ' 'identi ed' 'cost estimate' 'project scope' 'resources available' 'realistic expectation' 'prudent target' 'necessary level' 'less urgency' 'group responsible' 'con dence' 'individual risks' 'also' 'project' 'project' 'schedule' 'provide' 'provide' 'risks' 'time' 'takes' 'results' 'results' 'results' 'respectively' 'recorded' 'probability' 'priority' 'priorities' 'person' 'passed' 'organization' 'opportunities' 'objectives' 'judged' 'incorporated' 'established' 'establish' 'determined' 'depending' 'constraints' 'changes' 'capture' 'assumptions' 'appropriate' 'analyzed' 'amount' 'addition' 'achieving' 'account'],"8.1 purpose and objectives of the plan risk responses process, 8.2 critical success factors for the plan risk responses process, 8.2.1 communicate, 8.2.2 clearly deﬁ ne risk-related roles and responsibilities, 8.2.4 provide resources, budget, and schedule for responses, 8.2.5 address the interaction of risks and responses, 8.2.6 ensure appropriate, timely, effective, and agreed-upon responses, 8.2.8 develop strategies before tactical responses, 8.3 risk response strategies, 8.3.3 mitigate a threat or enhance an opportunity, 8.3.5 applying risk response strategies to overall project risk, 8.4 tools and techniques for the plan risk responses process, 8.4.1 response identiﬁ cation, 8.4.2 response selection, 8.4.3 action planning, 8.4.4 ownership and responsibility assignment, 8.5 documenting the results of the plan risk responses process, 8.5.1 add risk responses to the risk register, 8.5.2 add corresponding risk responses to the project management plan, 8.5.3 review and document predicted exposure, 9.1 purpose and objectives of the monitor and control risks process, 9.2.1 integrate risk monitoring and control with project monitoring and control, 9.2.2 continuously monitor risk trigger conditions, 9.2.3 maintain risk awareness, 9.3 tools and techniques for the monitor and control risks process, 9.3.1 managing contingency reserves, 9.3.2 tracking trigger conditions, 9.3.4 tracking compliance, 9.4 documenting the results of the monitor and control risks process, a.1  introduction, b.1 pre-project, b.3 scope changes, b.4 exposure and consensus, c.2 signiﬁ cant contributors, c.6 staff contributors, d.1  techniques, examples and templates for, d.1.1 techniques, d.1.1.1 the risk management plan – purpose and typical content, d.1.1.2 templates relevant to risk management planning, d.1.1.4 risk prioritization and selection guidelines, d.2 techniques, examples and templates for identify risks (chapter 5), d.2.1.1 assumptions and constraints analysis, d.2.1.2 brainstorming, d.2.1.3 cause and effect (ishikawa) diagrams, d.2.1.4 checklists, d.2.1.5 delphi technique, d.2.1.6 document review, d.2.1.7 fmea/fault tree analysis, d.2.1.8 force field analysis, d.2.1.10 inﬂ uence diagrams, d.2.1.11 interviews, d.2.1.12 nominal group technique, d.2.1.13 post-project reviews/lessons learned/historical information, d.2.1.14 prompt lists, d.2.1.15 questionnaire, d.2.1.16 risk breakdown structure (rbs), d.2.1.17 root-cause analysis, d.2.1.18 swot analysis, d.2.1.19 system dynamics, d.2.1.20 wbs review, d.3  techniques, examples and templates for perform qualitative risk, d.3.1 techniques for perform qualtitative risk analysis, d.3.1.1 estimating techniques applied to probability and impact, d.3.1.2, d.3.1.3 analytic hierarchy process (ahp), d.4  techniques, examples and templates for perform quantitative risk, d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.4.1.3 monte carlo simulation, d.5  techniques, examples, and templates for plan risk responses, d.5.1 techniques for plan risk response, d.5.1.1 contingency planning, d.5.1.2 contingency reserve estimation, d.5.1.3 multi-criteria selection techniques, d.5.1.4 scenario analysis, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.4 status meetings, d.6.1.5 trend analysis, d.6.1.6 variance analysis",register document,"reserve, risk, contingency, plan, result, response, analysis, project, establish, provide",
purpose and objectives of the plan risk responses process,instance of,brainstorming,the objective of the plan risk responses process is to determine the set of actions which most enhance the chances of project success while complying with applicable organizational and project constraints once risks have been identi ed analyzed and prioritized plans should be developed for addressing every risk the project team considers to be suf ciently important either because of the threat it poses to the project objectives or the opportunity it offers the planning entails agreeing upon the actions to be taken and the potential changes to budget schedule resources and scope which these actions might cause contingent risk response actions need to be executed at the optimum time for this reason the response speci cation for each such risk should include a description of any corresponding trigger conditions the responsibility for monitoring the project conditions and implementing the corresponding actions should be clearly assigned every risk should have been allocated to a risk owner as part of the identify risks process and each of the corresponding risk responses should now be assigned to a speci c risk action owner the risk owner is responsible for ensuring that the risk response is effective and for planning additional risk responses if required whereas the risk action owner is responsible for ensuring that the agreedupon risk responses are carried out as planned in a timely manner the role of the risk owner and that of the risk action owner may be assigned to a single person responses when implemented can have potential effects on the project objectives and as such can generate additional risks these are known as secondary risks and have to be analyzed and planned for in the same way as those risks which were initially identi ed it is never feasible or even desirable to eliminate all threats from a project similarly there is also a limit to the extent to which opportunities can be proactively managed there may be residual risks that will remain after the responses have been implemented these residual risks should be clearly identi ed analyzed documented and communicated to all relevant stakeholders all the approved unconditional actions arising from risk response planning should be integrated into the project management plan in order to ensure that they are carried out as part of normal project implementation the corresponding organizational and project management rules should also be invoked including the following project change management and con guration control project planning budgeting and scheduling resource management and project communication planning,The objective of the Plan Risk Responses process is to determine the set of actions which most enhance the project success. Every risk should have been allocated to a risk owner as part of the Identify Risks process. Contingent risk response actions need to be executed at the optimum time.,['speci c risk action owner' 'contingent risk response actions need' 'planning entails agreeing upon' ' project communication planning' 'planning additional risk responses' 'plan risk responses process' 'risk action owner may' 'response speci cation' 'risk action owner' 'risk response planning' 'upon risk responses' 'project management plan' 'suf ciently important' 'con guration control' ' project planning' ' resource management' 'project team considers' 'project management rules' 'project change management' 'normal project implementation' 'unconditional actions arising' 'identify risks process' 'generate additional risks' 'addressing every risk' 'actions might cause' 'initially identi ed' 'corresponding risk responses' 'corresponding trigger conditions' 'clearly identi ed' 'risk response' 'risk owner' 'risk owner' 'risk owner' 'every risk' 'identi ed' 'project conditions' 'corresponding actions' 'project success' 'project objectives' 'project objectives' 'project constraints' 'corresponding organizational' 'timely manner' 'single person' 'secondary risks' 'residual risks' 'residual risks' 'relevant stakeholders' 'proactively managed' 'potential effects' 'potential changes' 'optimum time' 'never feasible' 'even desirable' 'applicable organizational' 'clearly assigned' 'risk' '' 'responses' 'responses' 'project' 'may' 'actions' 'actions' 'risks' 'risks' 'assigned' 'assigned' 'whereas' 'way' 'threats' 'threat' 'taken' 'similarly' 'set' 'scope' 'scheduling' 'schedule' 'role' 'responsible' 'responsible' 'responsibility' 'resources' 'required' 'remain' 'reason' 'prioritized' 'poses' 'plans' 'planned' 'planned' 'part' 'part' 'order' 'opportunity' 'opportunities' 'offers' 'objective' 'monitoring' 'limit' 'known' 'invoked' 'integrated' 'including' 'include' 'implementing' 'implemented' 'implemented' 'following' 'extent' 'executed' 'ensuring' 'ensuring' 'ensure' 'enhance' 'eliminate' 'either' 'effective' 'documented' 'developed' 'determine' 'description' 'complying' 'communicated' 'chances' 'carried' 'carried' 'budgeting' 'budget' 'approved' 'analyzed' 'analyzed' 'analyzed' 'also' 'also' 'allocated' 'agreed'],"8.2 critical success factors for the plan risk responses process, 8.2.1 communicate, 8.2.2 clearly deﬁ ne risk-related roles and responsibilities, 8.2.4 provide resources, budget, and schedule for responses, 8.2.5 address the interaction of risks and responses, 8.2.6 ensure appropriate, timely, effective, and agreed-upon responses, 8.2.7 address both threats and opportunities, 8.2.8 develop strategies before tactical responses, 8.3 risk response strategies, 8.3.3 mitigate a threat or enhance an opportunity, 8.3.5 applying risk response strategies to overall project risk, 8.4 tools and techniques for the plan risk responses process, 8.4.1 response identiﬁ cation, 8.4.2 response selection, 8.4.3 action planning, 8.4.4 ownership and responsibility assignment, 8.5 documenting the results of the plan risk responses process, 8.5.1 add risk responses to the risk register, 8.5.2 add corresponding risk responses to the project management plan, 8.5.3 review and document predicted exposure, 9.1 purpose and objectives of the monitor and control risks process, 9.2.1 integrate risk monitoring and control with project monitoring and control, 9.2.2 continuously monitor risk trigger conditions, 9.2.3 maintain risk awareness, 9.3 tools and techniques for the monitor and control risks process, 9.3.1 managing contingency reserves, 9.3.2 tracking trigger conditions, 9.3.3 tracking overall risk, 9.3.4 tracking compliance, 9.4 documenting the results of the monitor and control risks process, a.1  introduction, b.1 pre-project, b.3 scope changes, b.4 exposure and consensus, c.6 staff contributors, d.1.1.2 templates relevant to risk management planning, d.1.1.3 risk statement “metalanguage”, d.1.1.4 risk prioritization and selection guidelines, d.2 techniques, examples and templates for identify risks (chapter 5), d.2.1.1 assumptions and constraints analysis, d.2.1.2 brainstorming, d.2.1.3 cause and effect (ishikawa) diagrams, d.2.1.4 checklists, d.2.1.5 delphi technique, d.2.1.6 document review, d.2.1.7 fmea/fault tree analysis, d.2.1.8 force field analysis, d.2.1.10 inﬂ uence diagrams, d.2.1.11 interviews, d.2.1.12 nominal group technique, d.2.1.13 post-project reviews/lessons learned/historical information, d.2.1.14 prompt lists, d.2.1.15 questionnaire, d.2.1.16 risk breakdown structure (rbs), d.2.1.17 root-cause analysis, d.2.1.18 swot analysis, d.2.1.19 system dynamics, d.2.1.20 wbs review, d.3  techniques, examples and templates for perform qualitative risk, d.3.1 techniques for perform qualtitative risk analysis, d.3.1.1 estimating techniques applied to probability and impact, d.3.1.3 analytic hierarchy process (ahp), d.4  techniques, examples and templates for perform quantitative risk, d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.4.1.2 expected monetary value, d.4.1.3 monte carlo simulation, d.5.1 techniques for plan risk response, d.5.1.1 contingency planning, d.5.1.2 contingency reserve estimation, d.5.1.4 scenario analysis, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.2 risk audits, d.6.1.4 status meetings, d.6.1.5 trend analysis, d.6.1.6 variance analysis",varies plan,"risk, action, owner, response, project, plan, implement, analyze, assign, ensure",
critical success factors for the plan risk responses process,subclass of,level,a range of factors are important for the success of the plan risk responses process these are described in sections through and shown in figure figure critical success factors for risk response planning,A range of factors are important for the success of the Plan Risk Responses process. These are described in Sections 8.1 through 8.2.8 and shown in Figure 8-1.,['plan risk responses process' 'risk response planning' 'critical success factors' 'sections ' 'figure ' 'figure ' 'success' 'factors' '' '' 'shown' 'range' 'important' 'described' '' '' '' '' ''],"8.2.2 clearly deﬁ ne risk-related roles and responsibilities, 8.2.4 provide resources, budget, and schedule for responses, 8.2.5 address the interaction of risks and responses, 8.2.6 ensure appropriate, timely, effective, and agreed-upon responses, 8.3 risk response strategies, 8.3.5 applying risk response strategies to overall project risk, 8.4 tools and techniques for the plan risk responses process, 8.4.1 response identiﬁ cation, 8.4.2 response selection, 8.4.3 action planning, 8.4.4 ownership and responsibility assignment, 8.5 documenting the results of the plan risk responses process, 8.5.2 add corresponding risk responses to the project management plan, 9.1 purpose and objectives of the monitor and control risks process, 9.2.1 integrate risk monitoring and control with project monitoring and control, 9.2.2 continuously monitor risk trigger conditions, 9.2.3 maintain risk awareness, 9.3 tools and techniques for the monitor and control risks process, 9.4 documenting the results of the monitor and control risks process, a.1  introduction, b.1 pre-project, b.4 exposure and consensus, c.6 staff contributors, d.1.1 techniques, d.1.1.1 the risk management plan – purpose and typical content, d.1.1.2 templates relevant to risk management planning, d.2 techniques, examples and templates for identify risks (chapter 5), d.2.1.1 assumptions and constraints analysis, d.2.1.2 brainstorming, d.2.1.3 cause and effect (ishikawa) diagrams, d.2.1.4 checklists, d.2.1.7 fmea/fault tree analysis, d.2.1.8 force field analysis, d.2.1.10 inﬂ uence diagrams, d.2.1.12 nominal group technique, d.2.1.15 questionnaire, d.2.1.17 root-cause analysis, d.2.1.18 swot analysis, d.2.1.19 system dynamics, d.2.1.20 wbs review, d.3  techniques, examples and templates for perform qualitative risk, d.3.1 techniques for perform qualtitative risk analysis, d.3.1.1 estimating techniques applied to probability and impact, d.3.1.2, d.3.1.3 analytic hierarchy process (ahp), d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.4.1.3 monte carlo simulation, d.5.1 techniques for plan risk response, d.5.1.2 contingency reserve estimation, d.5.1.3 multi-criteria selection techniques, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.6 variance analysis",varies plan,"factor, success, figure, response, plan, range, section, critical, important, risk",
